datetime,open,high,low,close,volume
2024-12-31 19:00:00,93548.8,93885.0,93460.2,93743.3,2061.454
2024-12-31 19:30:00,93743.4,94449.2,93743.3,94363.6,3683.155
2024-12-31 20:00:00,94363.6,94363.7,93800.0,93800.0,2497.324
2024-12-31 20:30:00,93800.0,93968.8,93545.0,93588.0,1494.14
2024-12-31 21:00:00,93587.9,93784.5,93561.8,93719.6,1223.296
2024-12-31 21:30:00,93719.9,94082.4,93708.3,94064.4,1073.94
2024-12-31 22:00:00,94064.4,94070.2,93736.1,93800.0,1162.495
2024-12-31 22:30:00,93800.0,93861.8,93692.6,93810.0,766.215
2024-12-31 23:00:00,93810.0,93810.1,93640.3,93710.3,1151.171
2024-12-31 23:30:00,93710.3,93710.3,93502.0,93545.0,1090.445
2025-01-01 00:00:00,93544.9,93912.3,93520.3,93866.8,1694.536
2025-01-01 00:30:00,93866.7,93914.7,93754.4,93760.0,787.489
2025-01-01 01:00:00,93760.0,93760.0,93580.0,93633.7,960.15
2025-01-01 01:30:00,93633.6,93735.5,93533.3,93734.2,1010.777
2025-01-01 02:00:00,93734.2,93759.8,93627.7,93759.7,560.703
2025-01-01 02:30:00,93759.7,93785.4,93651.1,93660.7,597.212
2025-01-01 03:00:00,93660.7,93735.2,93258.8,93384.1,2069.385
2025-01-01 03:30:00,93384.0,93523.4,93300.0,93398.2,1455.94
2025-01-01 04:00:00,93398.2,93462.9,92796.5,93112.7,5586.427
2025-01-01 04:30:00,93112.7,93395.8,92960.2,93382.1,3083.385
2025-01-01 05:00:00,93382.1,93510.0,93309.3,93372.1,1831.746
2025-01-01 05:30:00,93372.2,93481.3,93250.1,93307.7,1157.364
2025-01-01 06:00:00,93307.8,93474.7,93160.0,93474.7,1473.615
2025-01-01 06:30:00,93474.7,93692.3,93373.7,93420.1,2347.126
2025-01-01 07:00:00,93420.1,93967.9,93375.0,93854.7,2886.12
2025-01-01 07:30:00,93854.7,93875.4,93657.7,93788.3,1874.811
2025-01-01 08:00:00,93788.4,93871.9,93570.0,93694.0,1642.407
2025-01-01 08:30:00,93693.9,94035.4,93686.0,93995.2,1817.899
2025-01-01 09:00:00,93995.3,94430.0,93848.1,93884.6,5659.514
2025-01-01 09:30:00,93884.5,94199.0,93622.7,94147.2,3742.421
2025-01-01 10:00:00,94147.2,94245.6,93854.4,94130.2,2245.634
2025-01-01 10:30:00,94130.2,94489.5,94055.8,94409.9,2258.263
2025-01-01 11:00:00,94409.9,94475.0,94073.8,94137.7,2454.463
2025-01-01 11:30:00,94137.6,94180.0,93900.0,94070.1,1714.372
2025-01-01 12:00:00,94070.1,94124.9,93729.2,93958.9,2024.023
2025-01-01 12:30:00,93959.0,94180.0,93880.2,94123.7,1232.935
2025-01-01 13:00:00,94123.6,94230.2,93918.6,94183.7,921.529
2025-01-01 13:30:00,94183.6,94375.1,94169.6,94321.6,1539.193
2025-01-01 14:00:00,94321.6,94387.9,94150.3,94245.6,1062.858
2025-01-01 14:30:00,94245.5,94823.2,94129.7,94612.1,3958.325
2025-01-01 15:00:00,94612.1,94829.7,94561.7,94694.8,1525.72
2025-01-01 15:30:00,94694.8,94850.0,94620.1,94767.3,1168.365
2025-01-01 16:00:00,94767.3,95161.2,94661.0,94940.9,3511.82
2025-01-01 16:30:00,94940.9,94987.5,94705.7,94962.4,1566.807
2025-01-01 17:00:00,94962.4,94985.6,94662.5,94724.8,1679.767
2025-01-01 17:30:00,94724.8,94950.1,94724.8,94770.6,871.148
2025-01-01 18:00:00,94770.5,94940.0,94576.7,94620.2,1810.219
2025-01-01 18:30:00,94620.2,94740.0,94522.1,94580.9,1248.557
2025-01-01 19:00:00,94580.9,95200.0,94357.4,94913.9,4602.726
2025-01-01 19:30:00,94913.9,95369.4,94701.3,95112.2,5265.747
2025-01-01 20:00:00,95112.2,95523.5,94958.5,95060.9,4043.156
2025-01-01 20:30:00,95060.7,95060.7,94698.7,94846.7,2411.96
2025-01-01 21:00:00,94846.6,95135.0,94786.8,95012.0,1489.756
2025-01-01 21:30:00,95012.1,95222.8,94807.1,95222.7,2441.398
2025-01-01 22:00:00,95222.8,95289.5,94940.0,95057.8,1562.082
2025-01-01 22:30:00,95057.7,95081.1,94900.0,95000.0,981.892
2025-01-01 23:00:00,95000.0,95270.9,94971.3,95161.1,2280.913
2025-01-01 23:30:00,95161.1,96031.4,95161.1,95698.7,7169.346
2025-01-02 00:00:00,95698.7,95794.0,95380.0,95745.6,3045.884
2025-01-02 00:30:00,95745.6,95769.8,95519.8,95579.5,1258.726
