entry_z,exit_buffer_z,sharpe,return_pct,final_value,trades
1.5,0.0,-2.7652277540956964,-9.517051177472702,90482.9488225273,7858.0
1.5,0.5,4.2035105747098465,12.745355327917963,112745.35532791796,4384.0
1.5,1.0,6.589323756549815,16.155576755900313,116155.57675590031,2566.0
1.5,1.5,6.895761758366005,15.376346808050734,115376.34680805073,2128.0
1.5,2.0,6.895761758366005,15.376346808050734,115376.34680805073,2128.0
2.0,0.0,3.326561175954928,7.494120524894465,107494.12052489446,4104.0
2.0,0.5,7.069251662189896,16.31582737170978,116315.82737170978,2702.0
2.0,1.0,8.257105917616071,17.059058659201455,117059.05865920144,1694.0
2.0,1.5,8.736941148164915,15.323298062183511,115323.2980621835,1322.0
2.0,2.0,8.545051158192464,14.913363088468689,114913.36308846869,1230.0
2.5,0.0,6.044482868575668,9.608165272274615,109608.16527227462,2082.0
2.5,0.5,7.408907136565169,14.442265511340334,114442.26551134035,1608.0
2.5,1.0,7.5955972982999524,14.779401792099268,114779.40179209926,1104.0
2.5,1.5,7.626338452862564,13.475522709006338,113475.52270900633,836.0
2.5,2.0,7.458820236648092,12.98213478641632,112982.13478641631,750.0
