,equity
2025-07-26,112698.89708200522
2025-07-27,112961.037275796
2025-07-28,112991.39238525789
2025-07-29,113044.25313577811
2025-07-30,113325.3360723252
2025-07-31,113412.82491959972
2025-08-01,113557.87875585584
2025-08-02,113535.34019102709
2025-08-03,113734.20513198119
2025-08-04,114012.29248336169
2025-08-05,114186.74421808326
2025-08-06,114239.64657065549
2025-08-07,114215.78649762816
2025-08-08,114428.41124879404
2025-08-09,114673.11885555641
2025-08-10,114681.22135642778
2025-08-11,114755.7537853321
2025-08-12,114720.51678187113
2025-08-13,114751.59392268422
2025-08-14,114875.0884863023
2025-08-15,115009.16414380724
2025-08-16,115034.19382994933
2025-08-17,115039.3737878903
2025-08-18,115028.62979507791
2025-08-19,115030.34668670649
2025-08-20,115059.99250854226
2025-08-21,115110.63484377095
2025-08-22,115262.48624997659
2025-08-23,115352.95975231225
2025-08-24,115443.00973522823
2025-08-25,115525.90812678325
2025-08-26,115579.53849920252
2025-08-27,115775.81521994369
2025-08-28,115665.52505967025
2025-08-29,115637.72649454765
2025-08-30,115755.99847497547
2025-08-31,116063.70585805082
2025-09-01,116147.39043475973
2025-09-02,116191.34921546448
2025-09-03,116315.85811995369
2025-09-04,116341.06062093576
2025-09-05,116371.83800111151
2025-09-06,116232.62978623399
2025-09-07,116192.94471825307
2025-09-08,116273.32495433697
2025-09-09,116416.98977627812
2025-09-10,116399.9945143399
2025-09-11,116330.90628811502
2025-09-12,116377.53609117569
2025-09-13,116447.83846541404
2025-09-14,116391.99954520079
2025-09-15,116440.64706021371
2025-09-16,116478.52918534944
2025-09-17,116526.05230051516
2025-09-18,116546.05885133296
2025-09-19,116584.97975085424
2025-09-20,116751.31989625747
2025-09-21,116813.52432450873
2025-09-22,117065.95233474147
2025-09-23,117219.41898058825
2025-09-24,117285.89698632315
2025-09-25,117368.74452660597
2025-09-26,117442.14129848294
2025-09-27,117556.29111403585
2025-09-28,117583.02470395748
2025-09-29,117592.26869293369
2025-09-30,117640.06456653644
2025-10-01,117735.85433595754
2025-10-02,117776.2628630846
2025-10-03,117846.78131701176
2025-10-04,117866.67571043712
2025-10-05,117895.06867174582
2025-10-06,117939.3834875651
2025-10-07,118046.25102455534
2025-10-08,118061.60167270667
2025-10-09,118212.60317799344
2025-10-10,118165.18189022211
2025-10-11,118273.6407270246
2025-10-12,118416.2591660336
2025-10-13,118330.84626986175
2025-10-14,118560.87056978604
2025-10-15,118605.48029455014
2025-10-16,118665.23771311852
2025-10-17,118875.24340190688
2025-10-18,118946.10131274628
2025-10-19,119056.63510515454
2025-10-20,118999.31836083365
2025-10-21,119299.31024811923
2025-10-22,119353.7624395296
2025-10-23,119622.40934109167
2025-10-24,119581.16018580119
2025-10-25,119669.5937322654
2025-10-26,119635.11186832414
2025-10-27,119842.82156750055
2025-10-28,119881.79271871029
2025-10-29,119999.65845696432
2025-10-30,120087.33206196637
2025-10-31,120182.64949310833
2025-11-01,120218.75499198149
2025-11-02,120339.98575340932
2025-11-03,120388.36559797502
2025-11-04,120405.71011359725
2025-11-05,120474.40351263745
2025-11-06,120522.9715012374
2025-11-07,120606.46697436008
2025-11-08,120612.03487972412
2025-11-09,120649.15141989467
2025-11-10,120759.64481156926
2025-11-11,120813.55788485808
2025-11-12,120882.1239901611
2025-11-13,120991.10241913155
2025-11-14,121098.6792720643
2025-11-15,120941.47483202358
2025-11-16,121118.30622966916
2025-11-17,121145.93292863107
2025-11-18,121125.7966307704
2025-11-19,121170.31527211348
2025-11-20,121120.82187387338
2025-11-21,121187.00054069946
2025-11-22,121202.79300666857
2025-11-23,121190.95574333794
2025-11-24,121115.7434600309
2025-11-25,121113.34643330323
2025-11-26,121185.98729575911
2025-11-27,121214.16536687521
2025-11-28,121161.15562208816
2025-11-29,121078.16073969998
2025-11-30,120959.63829375929
2025-12-01,121096.69331039258
2025-12-02,121112.6601093061
2025-12-03,121108.96608231006
2025-12-04,121198.40863554439
2025-12-05,121233.43935825348
2025-12-06,121276.96894047748
2025-12-07,121349.2113748039
2025-12-08,121360.18911276672
2025-12-09,121458.40480401005
2025-12-10,121478.89401390703
2025-12-11,121431.9380627908
2025-12-12,121546.21372211314
2025-12-13,121597.92790438262
2025-12-14,121682.50054897623
2025-12-15,121678.30904721156
2025-12-16,121739.53865825091
2025-12-17,121818.46212608567
2025-12-18,121850.27998169493
2025-12-19,121927.44120200624
2025-12-20,121950.32386949667
2025-12-21,121982.22378616499
2025-12-22,122011.8599820704
2025-12-23,122186.5179113901
2025-12-24,122297.3080499023
2025-12-25,122379.78174566304
2025-12-26,122428.94707654537
2025-12-27,122617.36828843916
2025-12-28,122562.05622990905
2025-12-29,122854.60556515673
2025-12-30,122897.20389082743
2025-12-31,122967.8064203319
2026-01-01,123168.63068970961
2026-01-02,123248.96274532864
2026-01-03,123302.16615966467
2026-01-04,123486.06888330725
2026-01-05,123636.44777519835
2026-01-06,123648.61168867214
2026-01-07,123669.87821308387
2026-01-08,123714.77347319586
2026-01-09,123850.46651290801
2026-01-10,123975.70616251505
2026-01-11,124178.70518117509
2026-01-12,124136.42269879961
2026-01-13,124125.12445164793
2026-01-14,124186.83726278009
2026-01-15,124223.7240320091
2026-01-16,124267.33481314497
2026-01-17,124222.83000228315
2026-01-18,124219.80679992384
2026-01-19,124338.26874754037
2026-01-20,124584.23233075587
2026-01-21,124751.25220799667
2026-01-22,124782.00015283439
2026-01-23,124899.83800571777
2026-01-24,124617.75372647625
2026-01-25,125411.0299576113
2026-01-26,125443.24078424236
2026-01-27,125516.79494686429
2026-01-28,125579.72958946895
2026-01-29,125721.36258320913
2026-01-30,125794.9493450905
2026-01-31,125972.81185886306
2026-02-01,126482.9253177775
2026-02-02,126495.3462644643
2026-02-03,126800.61264384244
2026-02-04,126848.59257779983
2026-02-05,126994.18895658865
2026-02-06,127216.38531289379
