entry_z,exit_buffer_z,sharpe,return_pct,final_value,trades
1.5,0.5,9.52137672996376,61.78988540808123,161789.88540808123,4576.0
1.5,1.0,9.960527486002853,45.15443479556653,145154.43479556654,2646.0
1.5,1.5,9.959299839354598,39.481893385573755,139481.89338557376,2192.0
1.5,2.0,9.959299839354598,39.481893385573755,139481.89338557376,2192.0
2.0,0.5,10.995164550382981,46.427599551170196,146427.5995511702,2796.0
2.0,1.0,11.247510869931077,36.0931635892191,136093.1635892191,1736.0
2.0,1.5,11.51209975464192,30.400224363058026,130400.22436305802,1352.0
2.0,2.0,11.254553852596878,28.916365607131134,128916.36560713113,1258.0
2.5,0.5,11.391632879713576,31.84741204708954,131847.41204708954,1652.0
2.5,1.0,10.671803807509466,27.034078439091445,127034.07843909145,1134.0
2.5,1.5,10.20357744696442,22.798953764538467,122798.95376453846,856.0
2.5,2.0,9.973874941334255,21.38869418801135,121388.69418801134,766.0
