,equity
2025-06-11,114256.85870017008
2025-06-12,114517.00230649082
2025-06-13,114497.8622227587
2025-06-14,114522.25429679528
2025-06-15,114780.6851739487
2025-06-16,114915.85862788411
2025-06-17,114918.74458529356
2025-06-18,114918.48664214737
2025-06-19,115017.52845379771
2025-06-20,115099.34546122435
2025-06-21,115214.51912916405
2025-06-22,115210.01409468852
2025-06-23,115143.83903910323
2025-06-24,115189.27501076115
2025-06-25,115179.54204011033
2025-06-26,115329.5791857573
2025-06-27,115336.44483735324
2025-06-28,115382.25493740248
2025-06-29,115449.66903968257
2025-06-30,115524.49380507866
2025-07-01,115619.97493134308
2025-07-02,115844.1209225243
2025-07-03,115883.99109294888
2025-07-04,115955.04973012685
2025-07-05,116024.75730785214
2025-07-06,116146.23149127445
2025-07-07,116145.54748306243
2025-07-08,116170.35719596036
2025-07-09,116263.95840642927
2025-07-10,116323.33597628672
2025-07-11,116290.90948258489
2025-07-12,116357.4795196727
2025-07-13,116394.52503386825
2025-07-14,116451.82981417699
2025-07-15,116443.89418566985
2025-07-16,116479.38984891806
2025-07-17,116461.63018664699
2025-07-18,116487.30004186239
2025-07-19,116507.75377904106
2025-07-20,116536.46597732748
2025-07-21,116696.15744205202
2025-07-22,116729.58736338497
2025-07-23,116806.87657973259
2025-07-24,116878.15225489915
2025-07-25,116955.93029274864
2025-07-26,117055.89027330914
2025-07-27,117318.03046709995
2025-07-28,117348.38557656182
2025-07-29,117401.24632708204
2025-07-30,117682.32926362914
2025-07-31,117769.81811090368
2025-08-01,117914.87194715982
2025-08-02,117892.33338233107
2025-08-03,118091.19832328513
2025-08-04,118369.28567466568
2025-08-05,118543.73740938723
2025-08-06,118596.63976195946
2025-08-07,118572.77968893213
2025-08-08,118785.40444009802
2025-08-09,119030.1120468604
2025-08-10,119038.21454773175
2025-08-11,119112.74697663606
2025-08-12,119077.5099731751
2025-08-13,119108.58711398815
2025-08-14,119232.08167760624
2025-08-15,119366.15733511117
2025-08-16,119391.18702125327
2025-08-17,119396.36697919422
2025-08-18,119385.62298638183
2025-08-19,119387.3398780104
2025-08-20,119416.98569984618
2025-08-21,119467.62803507484
2025-08-22,119619.47944128049
2025-08-23,119709.95294361617
2025-08-24,119800.00292653216
2025-08-25,119882.90131808718
2025-08-26,119936.53169050648
2025-08-27,120132.80841124766
2025-08-28,120022.51825097423
2025-08-29,119994.71968585163
2025-08-30,120112.99166627947
2025-08-31,120420.69904935482
2025-09-01,120504.38362606375
2025-09-02,120548.34240676848
2025-09-03,120672.85131125769
2025-09-04,120698.05381223977
2025-09-05,120728.83119241551
2025-09-06,120589.62297753799
2025-09-07,120549.93790955708
2025-09-08,120630.31814564095
2025-09-09,120773.98296758211
