entry_z,exit_buffer_z,sharpe,return_pct,final_value,trades
1.5,0.5,8.738621282210223,74.71456190813399,174714.561908134,7288.0
1.5,1.0,10.250522801756247,56.79390996082954,156793.90996082954,4492.0
1.5,1.5,10.437187809026923,49.0985752915297,149098.5752915297,3652.0
1.5,2.0,10.437187809026923,49.0985752915297,149098.5752915297,3652.0
2.0,0.5,10.513400361074853,56.00551874300264,156005.51874300264,4538.0
2.0,1.0,11.988655628867372,44.07821221596744,144078.21221596745,3032.0
2.0,1.5,12.051975222315159,38.22311197436679,138223.1119743668,2348.0
2.0,2.0,11.78577943390818,35.7172885048598,135717.2885048598,2166.0
2.5,0.5,10.88304570399898,38.55734264890629,138557.34264890628,2662.0
2.5,1.0,12.247275355904659,34.197017043408565,134197.01704340856,1966.0
2.5,1.5,11.488917520577282,29.708658140126953,129708.65814012695,1496.0
2.5,2.0,11.122104611728371,27.273781811242735,127273.78181124273,1336.0
