entry_z,exit_buffer_z,sharpe,return_pct,final_value,trades
1.5,0.5,6.541517126780441,90.50706709024627,190507.06709024627,21184.0
1.5,1.0,7.252134300764564,83.9248676856566,183924.8676856566,14758.0
1.5,1.5,7.440699297771129,73.18620386569069,173186.20386569068,12020.0
1.5,2.0,7.440699297771129,73.18620386569069,173186.20386569068,12020.0
2.0,0.5,7.786646819440225,73.45223129804619,173452.2312980462,13766.0
2.0,1.0,8.361864959501123,69.2791963500748,169279.1963500748,10130.0
2.0,1.5,8.787456631938666,61.20248254103584,161202.48254103583,8004.0
2.0,2.0,8.62241078302682,55.353260664852534,155353.26066485254,7104.0
2.5,0.5,9.38009174637379,45.90577730143577,145905.77730143577,7856.0
2.5,1.0,10.17219476400498,47.83610389743309,147836.1038974331,6292.0
2.5,1.5,11.014632152461306,43.5380821948534,143538.0821948534,4906.0
2.5,2.0,11.250928224746536,38.67468625653843,138674.68625653844,4134.0
